iter	Passed	Remaining
384	2854	4559
385	2860	4550
386	2865	4538
387	2869	4526
388	2875	4517
389	2880	4505
390	2885	4494
391	2891	4485
392	2898	4476
393	2903	4465
394	2909	4456
395	2914	4445
396	2919	4434
397	2925	4425
398	2930	4414
399	2935	4403
400	2941	4394
401	2947	4384
402	2951	4373
403	2957	4363
404	2962	4352
405	2967	4341
406	2973	4332
407	2978	4321
408	2983	4310
409	2989	4301
410	2994	4290
411	2999	4280
412	3003	4269
413	3010	4261
414	3015	4251
415	3021	4241
416	3026	4231
417	3031	4221
418	3036	4211
419	3042	4201
420	3047	4190
421	3052	4180
422	3060	4174
423	3065	4164
424	3071	4155
425	3076	4145
426	3081	4134
427	3087	4126
428	3092	4116
429	3097	4105
430	3103	4096
431	3111	4090
432	3116	4081
433	3122	4072
434	3127	4062
435	3132	4052
436	3138	4043
437	3143	4033
438	3148	4023
439	3154	4015
440	3159	4004
441	3164	3994
442	3170	3986
443	3175	3975
444	3180	3966
445	3186	3957
446	3190	3947
447	3196	3938
448	3203	3930
449	3208	3921
450	3213	3911
451	3219	3903
452	3224	3894
453	3229	3884
454	3236	3876
455	3241	3866
456	3245	3856
457	3251	3848
458	3256	3838
459	3261	3828
460	3267	3820
461	3272	3810
462	3277	3800
463	3283	3792
464	3287	3782
465	3292	3773
466	3299	3765
467	3305	3757
468	3312	3750
469	3320	3744
470	3325	3734
471	3331	3727
472	3336	3717
473	3341	3708
474	3348	3700
475	3352	3691
476	3357	3681
477	3364	3673
478	3368	3664
479	3373	3654
480	3379	3645
481	3384	3637
482	3389	3627
483	3393	3618
484	3399	3610
485	3404	3600
486	3409	3591
487	3416	3584
488	3421	3575
489	3427	3567
490	3432	3558
491	3437	3549
492	3447	3545
493	3453	3537
494	3458	3528
495	3464	3520
496	3469	3511
497	3474	3502
498	3480	3494
499	3485	3485
500	3489	3476
501	3496	3468
502	3501	3459
503	3506	3450
504	3512	3442
505	3516	3433
506	3521	3424
507	3527	3416
508	3534	3409
509	3538	3400
510	3545	3392
511	3551	3384
512	3556	3375
513	3562	3368
514	3567	3359
515	3571	3350
516	3578	3342
517	3583	3334
518	3587	3325
519	3594	3317
520	3598	3308
521	3603	3299
522	3609	3292
523	3614	3283
524	3618	3274
525	3625	3266
526	3631	3259
527	3636	3250
528	3642	3243
529	3647	3234
530	3652	3226
531	3658	3218
532	3663	3209
533	3668	3201
534	3674	3193
535	3679	3185
536	3684	3176
537	3690	3169
538	3695	3160
539	3700	3152
540	3706	3144
541	3711	3136
542	3716	3127
543	3721	3119
544	3727	3111
545	3732	3103
546	3737	3094
547	3744	3088
548	3748	3079
549	3754	3071
550	3759	3063
551	3764	3055
552	3769	3046
553	3775	3039
554	3780	3031
555	3785	3022
556	3791	3015
557	3796	3007
558	3801	2998
559	3826	3006
560	3834	3000
561	3845	2996
562	3850	2989
563	3858	2982
564	3862	2973
565	3867	2965
566	3889	2970
567	3897	2964
568	3905	2958
569	3911	2950
570	3916	2942
571	3922	2935
572	3927	2926
573	3932	2918
574	3938	2911
575	3944	2903
576	3949	2895
577	3955	2888
578	3961	2880
579	3967	2873
580	3972	2865
581	3979	2857
582	3985	2850
583	3990	2842
584	3995	2834
585	4001	2826
586	4006	2818
587	4011	2810
588	4017	2803
589	4022	2794
590	4026	2786
591	4032	2779
592	4037	2771
593	4042	2763
594	4047	2755
595	4053	2747
596	4058	2739
597	4063	2731
598	4070	2725
599	4075	2716
600	4082	2710
601	4087	2702
602	4091	2694
603	4098	2687
604	4103	2678
605	4108	2671
606	4116	2665
607	4121	2657
608	4126	2649
609	4132	2642
610	4137	2634
611	4142	2626
612	4148	2619
613	4153	2611
614	4158	2603
615	4165	2596
616	4170	2589
617	4176	2581
618	4182	2574
619	4187	2566
620	4192	2558
621	4198	2551
622	4203	2543
623	4207	2535
624	4214	2528
625	4219	2521
626	4224	2513
627	4230	2505
628	4237	2499
629	4241	2491
630	4248	2484
631	4252	2476
632	4257	2468
633	4265	2462
634	4270	2454
635	4275	2446
636	4282	2440
637	4287	2432
638	4292	2425
639	4298	2417
640	4303	2409
641	4307	2402
642	4313	2395
643	4318	2387
644	4324	2379
645	4330	2372
646	4334	2365
647	4339	2357
648	4345	2350
649	4350	2342
650	4355	2335
651	4363	2329
652	4369	2321
653	4376	2315
654	4381	2307
655	4386	2300
656	4392	2293
657	4397	2285
658	4402	2277
659	4408	2271
660	4413	2263
661	4417	2255
662	4423	2248
663	4428	2241
664	4433	2233
665	4439	2226
666	4444	2218
667	4449	2211
668	4454	2203
669	4461	2197
670	4466	2189
671	4475	2184
672	4482	2177
673	4486	2170
674	4493	2163
675	4498	2155
676	4502	2148
677	4508	2141
678	4513	2133
679	4518	2126
680	4526	2120
681	4531	2113
682	4537	2105
683	4542	2098
684	4547	2091
685	4552	2083
686	4558	2076
687	4563	2069
688	4568	2062
689	4575	2055
690	4580	2048
691	4586	2041
692	4591	2034
693	4596	2026
694	4601	2019
695	4607	2012
696	4612	2005
697	4617	1997
698	4625	1991
699	4630	1984
700	4636	1977
701	4641	1970
702	4645	1962
703	4652	1956
704	4657	1948
705	4662	1941
706	4667	1934
707	4674	1927
708	4679	1920
709	4685	1913
710	4690	1906
711	4695	1899
712	4701	1892
713	4706	1885
714	4711	1877
715	4717	1871
716	4722	1863
717	4726	1856
718	4732	1849
719	4737	1842
720	4742	1835
721	4747	1827
722	4753	1821
723	4758	1813
724	4763	1806
725	4771	1800
726	4776	1793
727	4781	1786
728	4786	1779
729	4791	1772
730	4796	1765
731	4802	1758
732	4807	1751
733	4812	1744
734	4818	1737
735	4823	1730
736	4828	1722
737	4833	1716
738	4838	1708
739	4843	1701
740	4850	1695
741	4855	1688
742	4859	1680
743	4866	1674
744	4871	1667
745	4875	1660
746	4882	1653
747	4888	1646
748	4893	1639
749	4899	1633
750	4904	1626
751	4909	1618
752	4915	1612
753	4920	1605
754	4924	1598
755	4931	1591
756	4935	1584
757	4940	1577
758	4947	1570
759	4951	1563
760	4956	1556
761	4963	1550
762	4967	1543
763	4972	1536
764	4979	1529
765	4984	1522
766	4990	1515
767	4996	1509
768	5001	1502
769	5006	1495
770	5012	1488
771	5017	1481
772	5024	1475
773	5030	1468
774	5035	1462
775	5040	1455
776	5046	1448
777	5051	1441
778	5057	1434
779	5063	1428
780	5068	1421
781	5073	1414
782	5081	1408
783	5086	1401
784	5092	1394
785	5097	1387
786	5102	1380
787	5107	1374
788	5112	1367
789	5117	1360
790	5122	1353
791	5128	1346
792	5133	1339
793	5137	1333
794	5144	1326
795	5149	1319
796	5153	1312
797	5160	1306
798	5166	1299
799	5171	1292
800	5178	1286
801	5183	1279
802	5190	1273
803	5194	1266
804	5199	1259
805	5205	1252
806	5210	1246
807	5215	1239
808	5220	1232
809	5226	1225
810	5232	1219
811	5238	1212
812	5243	1206
813	5248	1199
814	5254	1192
815	5259	1185
816	5264	1179
817	5270	1172
818	5275	1165
819	5280	1159
820	5285	1152
821	5293	1146
822	5297	1139
823	5304	1133
824	5309	1126
825	5314	1119
826	5321	1113
827	5326	1106
828	5330	1099
829	5337	1093
830	5342	1086
831	5346	1079
832	5353	1073
833	5358	1066
834	5362	1059
835	5368	1053
836	5373	1046
837	5378	1039
838	5383	1033
839	5390	1026
840	5395	1020
841	5402	1013
842	5407	1007
843	5412	1000
844	5421	994
845	5425	987
846	5431	981
847	5437	974
848	5442	967
849	5447	961
850	5453	954
851	5458	948
852	5463	941
853	5468	934
854	5474	928
855	5478	921
856	5485	915
857	5491	908
858	5496	902
859	5502	895
860	5508	889
861	5512	882
862	5519	876
863	5524	869
864	5529	862
865	5535	856
866	5540	849
867	5545	843
868	5551	836
869	5556	830
870	5561	823
871	5567	817
872	5572	810
873	5577	804
874	5583	797
875	5588	791
876	5593	784
877	5600	778
878	5605	771
879	5611	765
880	5617	758
881	5622	752
882	5627	745
883	5634	739
884	5638	732
885	5643	726
886	5649	719
887	5654	713
888	5659	706
889	5665	700
890	5670	693
891	5675	687
892	5681	680
893	5686	674
894	5691	667
895	5697	661
896	5703	654
897	5708	648
898	5714	642
899	5719	635
900	5724	628
901	5730	622
902	5736	616
903	5741	609
904	5747	603
905	5752	596
906	5756	590
907	5762	583
908	5767	577
909	5772	570
910	5778	564
911	5783	558
912	5787	551
913	5793	545
914	5798	538
915	5803	532
916	5809	525
917	5817	519
918	5822	513
919	5828	506
920	5833	500
921	5838	493
922	5844	487
923	5849	481
924	5854	474
925	5860	468
926	5865	461
927	5870	455
928	5876	449
929	5881	442
930	5886	436
931	5892	429
932	5897	423
933	5902	417
934	5909	410
935	5915	404
936	5920	398
937	5926	391
938	5931	385
939	5941	379
940	5947	372
941	5956	366
942	5962	360
943	5969	354
944	5976	347
945	5982	341
946	5989	335
947	5995	328
948	6002	322
949	6011	316
950	6017	310
951	6024	303
952	6031	297
953	6039	291
954	6052	285
955	6060	278
956	6067	272
957	6074	266
958	6080	259
959	6086	253
960	6091	247
961	6096	240
962	6100	234
963	6107	228
964	6111	221
965	6117	215
966	6124	209
967	6129	202
968	6135	196
969	6140	189
970	6145	183
971	6152	177
972	6157	170
973	6161	164
974	6167	158
975	6172	151
976	6177	145
977	6182	139
978	6188	132
979	6192	126
980	6198	120
981	6204	113
982	6209	107
983	6217	101
984	6223	94
985	6228	88
986	6234	82
987	6239	75
988	6243	69
989	6250	63
990	6255	56
991	6259	50
992	6265	44
993	6270	37
994	6276	31
995	6283	25
996	6290	18
997	6298	12
998	6303	6
999	6309	0
