iter	RMSE
317	0.8615071707
318	0.8604743258
319	0.8591461789
320	0.8582219038
321	0.8526379385
322	0.8518348668
323	0.8510573519
324	0.8471303776
325	0.8458783748
326	0.8410327537
327	0.8350058797
328	0.8342808356
329	0.8298784118
330	0.8291519643
331	0.8261785636
332	0.8254351052
333	0.8205077861
334	0.8171963128
335	0.8125871899
336	0.8077418709
337	0.8042335416
338	0.7999462263
339	0.7950577755
340	0.7943651322
341	0.7924346601
342	0.7884408393
343	0.7872648636
344	0.7866148587
345	0.7831641211
346	0.7791050809
347	0.7784584168
348	0.7778221119
349	0.7732679954
350	0.7724726816
351	0.7688972618
352	0.7682786523
353	0.7655379429
354	0.7600330174
355	0.7560107395
356	0.7518598394
357	0.7482588194
358	0.7453596568
359	0.7411714921
360	0.7363629586
361	0.7336262688
362	0.7279449045
363	0.726773459
364	0.7225626797
365	0.7188679851
366	0.7143467596
367	0.7109558881
368	0.7077751566
369	0.7045821694
370	0.7011327928
371	0.6975026101
372	0.6945749674
373	0.693178099
374	0.6922710378
375	0.6898811252
376	0.6860309303
377	0.6835029971
378	0.679757452
379	0.6771802732
380	0.6735448038
381	0.6699238967
382	0.6667517003
383	0.664047379
384	0.6611740617
385	0.6589165647
386	0.6572516481
387	0.6560891419
388	0.6529190527
389	0.6498995869
390	0.6472776742
391	0.6443283871
392	0.6412728184
393	0.6381148061
394	0.6355211649
395	0.6344444811
396	0.6316775555
397	0.6282911596
398	0.6248832708
399	0.6228029514
400	0.6176563671
401	0.6148345055
402	0.6104727296
403	0.6075882393
404	0.606386865
405	0.603574927
406	0.6000734109
407	0.5972097848
408	0.5952160532
409	0.5927262563
410	0.5902306503
411	0.5865216451
412	0.5847138421
413	0.5836441137
414	0.5809957469
415	0.5785896398
416	0.5765535013
417	0.573158195
418	0.5711518857
419	0.5664930679
420	0.5633688443
421	0.559395346
422	0.5565301712
423	0.5557345927
424	0.5526619566
425	0.5500255579
426	0.5475130279
427	0.544900729
428	0.5424345082
429	0.5402438743
430	0.5374158182
431	0.5342497801
432	0.5319876263
433	0.5287199697
434	0.5262065532
435	0.5252130162
436	0.5210989027
437	0.5170351898
438	0.5158197084
439	0.5126893749
440	0.5119473735
441	0.5088498043
442	0.5057672491
443	0.5032440308
444	0.5006851871
445	0.4983288574
446	0.4960450295
447	0.4945463898
448	0.4913080773
449	0.4889850823
450	0.486078067
451	0.4832135726
452	0.4813194185
453	0.4790415698
454	0.4763165791
455	0.4755242483
456	0.4732976003
457	0.4704750694
458	0.4697924932
459	0.4684540837
460	0.4658726046
461	0.4638115339
462	0.4609317889
463	0.4589961453
464	0.4563359192
465	0.4545002049
466	0.4515071177
467	0.4489845752
468	0.4457965439
469	0.4431629388
470	0.4406520475
471	0.4378595734
472	0.4352202738
473	0.4333086712
474	0.4314587996
475	0.4300576857
476	0.4277943938
477	0.4257815753
478	0.4232604029
479	0.4208456347
480	0.4192174974
481	0.4171227799
482	0.4152239989
483	0.4133510632
484	0.4112870521
485	0.4101276531
486	0.4085185294
487	0.4071466079
488	0.4059101544
489	0.403411007
490	0.4018660791
491	0.399368643
492	0.3977087815
493	0.3962044116
494	0.3939423304
495	0.3913345291
496	0.3900944239
497	0.3892187982
498	0.3876073055
499	0.3858474467
500	0.3839353051
501	0.3815257654
502	0.3796208028
503	0.3770513633
504	0.3746986701
505	0.373220332
506	0.3709684289
507	0.3701810413
508	0.368126762
509	0.3660668213
510	0.3647582774
511	0.3626923768
512	0.3614882937
513	0.3590488041
514	0.3571852946
515	0.3551767298
516	0.3541435438
517	0.3537314602
518	0.3523695107
519	0.350629451
520	0.3495070114
521	0.3487839569
522	0.3482380128
523	0.3477517842
524	0.3470681515
525	0.3454200134
526	0.3434935841
527	0.3422018089
528	0.3403721189
529	0.3387035309
530	0.3365987921
531	0.3359525774
532	0.3346104207
533	0.3325696259
534	0.3309016196
535	0.3290293045
536	0.3273669284
537	0.3254465128
538	0.323894935
539	0.3222991412
540	0.3206742422
541	0.3192783906
542	0.3177507973
543	0.3161590484
544	0.314865826
545	0.3132062098
546	0.3113580984
547	0.3092000947
548	0.3083958185
549	0.3073909959
550	0.3056225851
551	0.3049460452
552	0.3034610345
553	0.3022987114
554	0.3001985199
555	0.2990774291
556	0.2977664106
557	0.2959633425
558	0.2956075958
559	0.2940210235
560	0.2930492176
561	0.2915939529
562	0.2904089431
563	0.2898414143
564	0.2883815775
565	0.287843327
566	0.2873482947
567	0.2861613599
568	0.2852437744
569	0.2841642118
570	0.2829516193
571	0.281388395
572	0.2800582406
573	0.2786490563
574	0.2765989018
575	0.2756343533
576	0.2751944113
577	0.2741645384
578	0.2732728617
579	0.272056191
580	0.2707015024
581	0.2694779087
582	0.2685754638
583	0.2673411968
584	0.265955538
585	0.2651249186
586	0.2639187293
587	0.2627112415
588	0.2612347145
589	0.2593722593
590	0.258119612
591	0.2567717739
592	0.2564502108
593	0.2548398962
594	0.2537700547
595	0.2529279118
596	0.2525028881
597	0.2514440855
598	0.2504279917
599	0.2501038191
600	0.2494568599
601	0.2486339861
602	0.2469350126
603	0.245751527
604	0.2455892896
605	0.2441745207
606	0.2435135955
607	0.2433495967
608	0.2431869445
609	0.2423075429
610	0.2415878275
611	0.2404223089
612	0.2400148863
613	0.2386395007
614	0.2374173669
615	0.2359168824
616	0.2354825505
617	0.2349398083
618	0.2337427709
619	0.2322870385
620	0.231922034
621	0.2307355706
622	0.2295665046
623	0.2289853358
624	0.2275595619
625	0.2261699996
626	0.224925229
627	0.2245299671
628	0.2235047856
629	0.2231755492
630	0.2227432579
631	0.2222294435
632	0.2212696173
633	0.2200032399
634	0.2195504602
635	0.2183895374
636	0.2175644855
637	0.2171137022
638	0.2160513761
639	0.2151032761
640	0.2142861268
641	0.2138523707
642	0.2129304653
643	0.21151255
644	0.2106322574
645	0.2104942417
646	0.209213145
647	0.2078110791
648	0.2064244766
649	0.2053862584
650	0.2042586947
651	0.203136958
652	0.2023043789
653	0.2011283721
654	0.2007595117
655	0.1996521302
656	0.1987531062
657	0.1977579631
658	0.1966355144
659	0.196505023
660	0.1963777775
661	0.1960722674
662	0.1951692214
663	0.1939961642
664	0.1930518054
665	0.1921049363
666	0.1912673832
667	0.1904700168
668	0.1899608267
669	0.1897846796
670	0.1887997542
671	0.1874572164
672	0.1865240391
673	0.1857985291
674	0.1847443575
675	0.1840161171
676	0.1828346441
677	0.1822459317
678	0.1812850269
679	0.1810778918
680	0.1803659584
681	0.1798252833
682	0.1790048074
683	0.1777632079
684	0.1776548886
685	0.1774517466
686	0.1773553698
687	0.1768122798
688	0.176718501
689	0.1760400149
690	0.1752201186
691	0.1745302182
692	0.1738888744
693	0.1733194723
694	0.1720229125
695	0.1710624716
696	0.1699239515
697	0.1691199894
698	0.1682846581
699	0.1672725776
700	0.1663113967
701	0.1655015388
702	0.1646729059
703	0.1636383662
704	0.1629927874
705	0.1623631566
706	0.1612643765
707	0.1604913381
708	0.1600481857
709	0.1598388281
710	0.1594794571
711	0.1586777125
712	0.1578342626
713	0.1573181642
714	0.156467511
715	0.155735002
716	0.15531377
717	0.1547882066
718	0.1540772754
719	0.1535408548
720	0.1532593032
721	0.15251446
722	0.1519265358
723	0.1510213158
724	0.150739653
725	0.1503313324
726	0.1497895311
727	0.1491855841
728	0.148245462
729	0.1476711102
730	0.1469986257
731	0.1463339555
732	0.1457348763
733	0.1448725632
734	0.1440564901
735	0.1436287069
736	0.1429618984
737	0.1425154933
738	0.1419457331
739	0.1414114
740	0.140975129
741	0.1404041793
742	0.1402418278
743	0.1396216053
744	0.1391611827
745	0.1385615985
746	0.1380480378
747	0.1373871656
748	0.1364555026
749	0.1362801488
750	0.135839258
751	0.1351953616
752	0.1345526925
753	0.1338653282
754	0.1333150283
755	0.1329942086
756	0.1327911424
757	0.1321849984
758	0.131382749
759	0.1310125364
760	0.1304319197
761	0.1300806625
762	0.1295144586
763	0.1293699634
764	0.129290131
765	0.1291935776
766	0.1287314384
767	0.128245028
768	0.1276549296
769	0.1273042479
770	0.1265482492
771	0.1259427333
772	0.1253696363
773	0.1247131802
774	0.1245622132
775	0.1241496433
776	0.1235132711
777	0.1228019696
778	0.1221768164
779	0.1220925941
780	0.1214586802
781	0.1208595224
782	0.1207949638
783	0.1203727864
784	0.1196140508
785	0.1191883475
786	0.118770524
787	0.1187031429
788	0.1184690201
789	0.1179138532
790	0.1173870308
791	0.1167092849
792	0.1163241245
793	0.1159704544
794	0.1153750207
795	0.1152889652
796	0.1150733719
797	0.1148903434
798	0.1144065636
799	0.113739745
800	0.1132420225
801	0.1125129068
802	0.1118658814
803	0.1116415817
804	0.1113105413
805	0.1107652418
806	0.1102782168
807	0.1098024939
808	0.1095601498
809	0.1091466204
810	0.108489341
811	0.1080709573
812	0.1073760213
813	0.1068679653
814	0.1064536626
815	0.106106789
816	0.1057193181
817	0.1051641607
818	0.1048103816
819	0.1042613349
820	0.1042063918
821	0.1036196394
822	0.1031835851
823	0.1027236745
824	0.1021711528
825	0.1017761642
826	0.101227547
827	0.1011686906
828	0.100920146
829	0.1008626475
830	0.1003229652
831	0.09988790075
832	0.09947022682
833	0.09897792969
834	0.09863052617
835	0.09796290999
836	0.09775958062
837	0.09718961273
838	0.09663889477
839	0.09612816718
840	0.09563674214
841	0.09515456446
842	0.09510377727
843	0.0946812433
844	0.0946265265
845	0.09432649487
846	0.09387515485
847	0.09336861488
848	0.09281892642
849	0.09235200445
850	0.09230316398
851	0.09176437895
852	0.09120613045
853	0.09096687741
854	0.09055461283
855	0.09027698253
856	0.08993302721
857	0.08944525605
858	0.08921502303
859	0.08898291024
860	0.088519904
861	0.08826791169
862	0.08789114332
863	0.08755525413
864	0.08712768377
865	0.08675270899
866	0.08634728784
867	0.08608116594
868	0.08603590897
869	0.08552396737
870	0.08502562714
871	0.08440334613
872	0.08389889764
873	0.08385569529
874	0.08345955946
875	0.08298079784
876	0.0825210653
877	0.08220892583
878	0.08179540852
879	0.08131985701
880	0.08090146499
881	0.08053710556
882	0.08039542629
883	0.07990322716
884	0.07955757201
885	0.07943466375
886	0.07918755686
887	0.07877586744
888	0.07844461531
889	0.0782700913
890	0.07803877945
891	0.0778585201
892	0.07738421074
893	0.07706912438
894	0.07689427078
895	0.07643957272
896	0.07619801922
897	0.07611256225
898	0.07589168795
899	0.07549809144
900	0.07511730637
901	0.07491389109
902	0.07466069598
903	0.07422485054
904	0.07375028347
905	0.07332271315
906	0.07323116809
907	0.07301158542
908	0.07280771545
909	0.07252143828
910	0.07243710231
911	0.0723335322
912	0.07195641138
913	0.07191949569
914	0.07152995473
915	0.0711234578
916	0.07087439842
917	0.07059384893
918	0.07046062968
919	0.07034679022
920	0.06992189246
921	0.06954002499
922	0.06918865519
923	0.06896356659
924	0.06891199735
925	0.06886005045
926	0.06870635365
927	0.06841960748
928	0.06808608262
929	0.06769346774
930	0.0671957092
931	0.06686488446
932	0.06669372823
933	0.06655225759
934	0.06617574896
935	0.06568362928
936	0.06545311501
937	0.06507542692
938	0.06464752
939	0.06424998014
940	0.063936619
941	0.06362958527
942	0.0633227649
943	0.06303764604
944	0.06286654157
945	0.06271178557
946	0.06245896073
947	0.06224648346
948	0.06187175527
949	0.06164429939
950	0.06137781975
951	0.06134614386
952	0.06131510596
953	0.06110858131
954	0.06080079458
955	0.06052579511
956	0.06026593063
957	0.05996106348
958	0.05979399806
959	0.05943932176
960	0.05915478082
961	0.05894507283
962	0.0585455665
963	0.05831653946
964	0.05807487141
965	0.05768053326
966	0.05736162719
967	0.05702659416
968	0.05680009929
969	0.05643849907
970	0.0560737799
971	0.05570446847
972	0.05537844048
973	0.05512024759
974	0.05509340919
975	0.05506624021
976	0.0549689829
977	0.05476845595
978	0.05452202978
979	0.05420723573
980	0.05397666042
981	0.0537288129
982	0.05367506221
983	0.05351512398
984	0.05326791902
985	0.05303997642
986	0.05275152101
987	0.05245512794
988	0.05224434941
989	0.05210732715
990	0.05185203798
991	0.05164851482
992	0.05139317344
993	0.05122087669
994	0.05104361056
995	0.0509344867
996	0.05065012861
997	0.05048389348
998	0.05035945754
999	0.05009630342
